node_id_from,node_id_to,directed,weight,type
france,ms_1,yes,0.3333333333333333,origin
laon,ms_1,yes,0.3333333333333333,origin
soissons,ms_1,yes,0.3333333333333333,origin
salzburg,ms_2,yes,1.0,origin
salzburg,ms_3,yes,1.0,origin
ireland,ms_4,yes,1.0,origin
salzburg,ms_5,yes,0.5,origin
saint-amand,ms_5,yes,0.5,origin
ireland,ms_6,yes,1.0,origin
ireland,ms_7,yes,1.0,origin
cambrai,ms_8,yes,0.5,origin
peronne,ms_8,yes,0.5,origin
ireland,ms_9,yes,1.0,origin
france,ms_10,yes,1.0,origin
ireland,ms_11,yes,0.5,origin
france,ms_11,yes,0.5,origin
france,ms_12,yes,1.0,origin
ireland,ms_13,yes,1.0,origin
laon,ms_15,yes,1.0,origin
mainz,ms_16,yes,1.0,origin
france,ms_17,yes,1.0,origin
laon,ms_18,yes,1.0,origin
france,ms_19,yes,1.0,origin
bobbio,ms_20,yes,0.5,origin
ireland,ms_20,yes,0.5,origin
fleury,ms_21,yes,1.0,origin
saint-denis,ms_22,yes,1.0,origin
reims,ms_23,yes,1.0,origin
france,ms_24,yes,1.0,origin
ireland,ms_25,yes,0.5,origin
england,ms_25,yes,0.5,origin
ireland,ms_26,yes,1.0,origin
ireland,ms_27,yes,1.0,origin
brittany,ms_28,yes,1.0,origin
england,ms_29,yes,0.3333333333333333,origin
ireland,ms_29,yes,0.3333333333333333,origin
echternach,ms_29,yes,0.3333333333333333,origin
ireland,ms_30,yes,1.0,origin
reims,ms_31,yes,1.0,origin
ireland,ms_32,yes,1.0,origin
ireland,ms_33,yes,1.0,origin
ireland,ms_34,yes,1.0,origin
corbie,ms_35,yes,1.0,origin
corbie,ms_36,yes,1.0,origin
soissons,ms_38,yes,1.0,origin
france,ms_40,yes,0.5,origin
laon,ms_40,yes,0.5,origin
ireland,ms_41,yes,0.5,origin
wales,ms_41,yes,0.5,origin
saint-amand,ms_42,yes,1.0,origin
soissons,ms_43,yes,1.0,origin
reims,ms_44,yes,1.0,origin
soissons,ms_45,yes,1.0,origin
reichenau,ms_46,yes,0.5,origin
mainz,ms_46,yes,0.5,origin
ireland,ms_47,yes,0.5,origin
bobbio,ms_47,yes,0.5,origin
st-gall,ms_48,yes,1.0,origin
reims,ms_49,yes,1.0,origin
ireland,ms_50,yes,1.0,origin
fulda,ms_51,yes,0.5,origin
ireland,ms_51,yes,0.5,origin
reichenau,ms_53,yes,1.0,origin
ireland,ms_54,yes,1.0,origin
ireland,ms_55,yes,1.0,origin
soissons,ms_56,yes,0.5,origin
france,ms_56,yes,0.5,origin
reichenau,ms_57,yes,1.0,origin
germany,ms_58,yes,0.5,origin
reichenau,ms_58,yes,0.5,origin
ireland,ms_59,yes,1.0,origin
france,ms_60,yes,0.3333333333333333,origin
soissons,ms_60,yes,0.3333333333333333,origin
ireland,ms_60,yes,0.3333333333333333,origin
ireland,ms_61,yes,1.0,origin
ireland,ms_62,yes,1.0,origin
ireland,ms_63,yes,1.0,origin
ireland,ms_64,yes,1.0,origin
ireland,ms_65,yes,1.0,origin
ireland,ms_66,yes,1.0,origin
ireland,ms_67,yes,1.0,origin
ireland,ms_68,yes,1.0,origin
ireland,ms_69,yes,1.0,origin
france,ms_70,yes,0.5,origin
soissons,ms_70,yes,0.5,origin
reichenau,ms_71,yes,1.0,origin
ireland,ms_72,yes,1.0,origin
ireland,ms_73,yes,1.0,origin
tallaght,ms_74,yes,1.0,origin
ireland,ms_76,yes,1.0,origin
germany,ms_77,yes,1.0,origin
ireland,ms_78,yes,0.5,origin
northumbria,ms_78,yes,0.5,origin
italy,ms_79,yes,0.5,origin
bobbio,ms_79,yes,0.5,origin
freising,ms_80,yes,1.0,origin
italy,ms_81,yes,0.5,origin
bobbio,ms_81,yes,0.5,origin
freising,ms_82,yes,1.0,origin
germany,ms_83,yes,1.0,origin
ireland,ms_84,yes,1.0,origin
reichenau,ms_85,yes,0.5,origin
germany,ms_85,yes,0.5,origin
regensburg,ms_86,yes,1.0,origin
germany,ms_88,yes,1.0,origin
ireland,ms_90,yes,1.0,origin
ireland,ms_91,yes,1.0,origin
ireland,ms_92,yes,1.0,origin
ireland,ms_93,yes,1.0,origin
ireland,ms_94,yes,1.0,origin
ireland,ms_95,yes,1.0,origin
ireland,ms_96,yes,1.0,origin
ireland,ms_97,yes,1.0,origin
ireland,ms_99,yes,1.0,origin
northumbria,ms_100,yes,1.0,origin
iona,ms_101,yes,1.0,origin
roscrea,ms_102,yes,1.0,origin
ireland,ms_103,yes,1.0,origin
ireland,ms_104,yes,1.0,origin
tallaght,ms_105,yes,1.0,origin
ireland,ms_106,yes,1.0,origin
ireland,ms_107,yes,1.0,origin
ireland,ms_108,yes,1.0,origin
ireland,ms_109,yes,1.0,origin
