node_id,display_text,node_type,lat,lng
ms_125,125,manuscript,,
ms_84,84,manuscript,,
ms_267,267,manuscript,,
ms_230,230,manuscript,,
ms_38,38,manuscript,,
ms_20,20,manuscript,,
ms_2,2,manuscript,,
ms_207,207,manuscript,,
ms_61,61,manuscript,,
ms_37,37,manuscript,,
ms_111,111,manuscript,,
ms_123,123,manuscript,,
ms_186,186,manuscript,,
ms_94,94,manuscript,,
ms_10,10,manuscript,,
ms_86,86,manuscript,,
ms_236,236,manuscript,,
ms_258,258,manuscript,,
ms_266,266,manuscript,,
ms_289,289,manuscript,,
ms_39,39,manuscript,,
ms_113,113,manuscript,,
ms_202,202,manuscript,,
ms_188,188,manuscript,,
ms_189,189,manuscript,,
ms_211,211,manuscript,,
ms_12,12,manuscript,,
ms_199,199,manuscript,,
ms_279,279,manuscript,,
ms_223,223,manuscript,,
ms_243,243,manuscript,,
ms_3,3,manuscript,,
ms_257,257,manuscript,,
ms_116,116,manuscript,,
ms_198,198,manuscript,,
ms_105,105,manuscript,,
ms_4,4,manuscript,,
ms_68,68,manuscript,,
ms_220,220,manuscript,,
ms_82,82,manuscript,,
ms_228,228,manuscript,,
ms_262,262,manuscript,,
ms_150,150,manuscript,,
ms_175,175,manuscript,,
ms_46,46,manuscript,,
ms_85,85,manuscript,,
ms_88,88,manuscript,,
ms_190,190,manuscript,,
ms_72,72,manuscript,,
ms_114,114,manuscript,,
ms_129,129,manuscript,,
ms_51,51,manuscript,,
ms_240,240,manuscript,,
ms_252,252,manuscript,,
ms_253,253,manuscript,,
ms_272,272,manuscript,,
ms_138,138,manuscript,,
ms_297,297,manuscript,,
ms_182,182,manuscript,,
ms_225,225,manuscript,,
ms_132,132,manuscript,,
ms_160,160,manuscript,,
ms_133,133,manuscript,,
ms_41,41,manuscript,,
ms_268,268,manuscript,,
ms_206,206,manuscript,,
ms_232,232,manuscript,,
ms_183,183,manuscript,,
ms_248,248,manuscript,,
ms_255,255,manuscript,,
ms_153,153,manuscript,,
ms_263,263,manuscript,,
ms_34,34,manuscript,,
ms_47,47,manuscript,,
ms_210,210,manuscript,,
ms_80,80,manuscript,,
ms_292,292,manuscript,,
ms_226,226,manuscript,,
ms_264,264,manuscript,,
ms_192,192,manuscript,,
ms_64,64,manuscript,,
ms_140,140,manuscript,,
ms_40,40,manuscript,,
ms_299,299,manuscript,,
ms_99,99,manuscript,,
ms_194,194,manuscript,,
ms_19,19,manuscript,,
ms_259,259,manuscript,,
ms_22,22,manuscript,,
ms_63,63,manuscript,,
ms_1,1,manuscript,,
ms_286,286,manuscript,,
ms_201,201,manuscript,,
ms_281,281,manuscript,,
ms_43,43,manuscript,,
ms_269,269,manuscript,,
ms_249,249,manuscript,,
ms_70,70,manuscript,,
ms_65,65,manuscript,,
ms_74,74,manuscript,,
ms_89,89,manuscript,,
ms_282,282,manuscript,,
ms_167,167,manuscript,,
ms_110,110,manuscript,,
ms_273,273,manuscript,,
ms_187,187,manuscript,,
ms_66,66,manuscript,,
ms_136,136,manuscript,,
ms_169,169,manuscript,,
ms_293,293,manuscript,,
ms_216,216,manuscript,,
ms_108,108,manuscript,,
ms_95,95,manuscript,,
ms_33,33,manuscript,,
ms_11,11,manuscript,,
ms_122,122,manuscript,,
ms_7,7,manuscript,,
ms_145,145,manuscript,,
ms_87,87,manuscript,,
ms_170,170,manuscript,,
ms_238,238,manuscript,,
ms_92,92,manuscript,,
ms_301,301,manuscript,,
ms_90,90,manuscript,,
ms_44,44,manuscript,,
ms_30,30,manuscript,,
ms_83,83,manuscript,,
ms_241,241,manuscript,,
ms_242,242,manuscript,,
ms_76,76,manuscript,,
ms_222,222,manuscript,,
ms_27,27,manuscript,,
ms_147,147,manuscript,,
ms_155,155,manuscript,,
ms_231,231,manuscript,,
ms_107,107,manuscript,,
ms_53,53,manuscript,,
ms_71,71,manuscript,,
ms_67,67,manuscript,,
ms_16,16,manuscript,,
ms_148,148,manuscript,,
ms_168,168,manuscript,,
ms_172,172,manuscript,,
ms_24,24,manuscript,,
ms_119,119,manuscript,,
ms_178,178,manuscript,,
ms_196,196,manuscript,,
ms_29,29,manuscript,,
ms_25,25,manuscript,,
ms_244,244,manuscript,,
ms_8,8,manuscript,,
ms_101,101,manuscript,,
ms_205,205,manuscript,,
ms_59,59,manuscript,,
ms_265,265,manuscript,,
ms_9,9,manuscript,,
ms_204,204,manuscript,,
ms_163,163,manuscript,,
ms_288,288,manuscript,,
ms_296,296,manuscript,,
ms_106,106,manuscript,,
ms_50,50,manuscript,,
ms_215,215,manuscript,,
ms_79,79,manuscript,,
ms_195,195,manuscript,,
ms_180,180,manuscript,,
ms_32,32,manuscript,,
ms_104,104,manuscript,,
ms_185,185,manuscript,,
ms_21,21,manuscript,,
ms_151,151,manuscript,,
ms_271,271,manuscript,,
ms_237,237,manuscript,,
ms_158,158,manuscript,,
ms_246,246,manuscript,,
ms_131,131,manuscript,,
ms_277,277,manuscript,,
ms_278,278,manuscript,,
ms_102,102,manuscript,,
ms_229,229,manuscript,,
ms_35,35,manuscript,,
ms_164,164,manuscript,,
ms_287,287,manuscript,,
ms_141,141,manuscript,,
ms_157,157,manuscript,,
ms_139,139,manuscript,,
ms_135,135,manuscript,,
ms_5,5,manuscript,,
ms_274,274,manuscript,,
ms_45,45,manuscript,,
ms_57,57,manuscript,,
ms_97,97,manuscript,,
