Node,Label,Type,In_Degree,Out_Degree,In_Strength_WeightSum,Out_Strength_WeightSum,DegreeCentrality,BetweennessCentrality,ClosenessCentrality_Undirected,EigenvectorCentrality,PageRank
ms_125,125,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.23788620187641543,9.64236626806265e-08,0.0020885977605204567
ms_84,84,manuscript,1,1,1.0,1.0,0.005681818181818182,0.0,0.28937672176308543,5.2297579758983844e-11,0.001692205846017647
ms_267,267,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.2588924195479192,5.2297579758983844e-11,0.0017096403072125632
ms_230,230,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.21577153882270086,5.2297579758983844e-11,0.0017774614670405678
ms_38,38,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.23570529875625082,7.078850974519598e-10,0.0018855705288862222
ms_20,20,manuscript,2,0,1.0,0.0,0.005681818181818182,0.0,0.30002703198955444,4.823798013019272e-08,0.0018904018032690519
ms_2,2,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.14967761470504418,5.2297579758983844e-11,0.0018019809317231877
ms_207,207,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.18234048752665777,7.078850974519598e-10,0.0020454604496183467
ms_61,61,manuscript,1,1,1.0,1.0,0.005681818181818182,0.0,0.28937672176308543,5.2297579758983844e-11,0.001692205846017647
ms_37,37,manuscript,0,1,0.0,1.0,0.002840909090909091,0.0,0.20504914947016176,1.8677707056779937e-12,0.00167794128685817
ms_111,111,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.21020761863922244,1.3634726151449361e-09,0.001974174588567747
ms_123,123,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.21577153882270086,5.2297579758983844e-11,0.0017774614670405678
ms_186,186,manuscript,2,1,1.0,1.0,0.008522727272727272,0.00019425019425019425,0.2780616585993042,7.078850974519599e-10,0.001841907447890155
ms_94,94,manuscript,1,1,1.0,1.0,0.005681818181818182,2.697919364586031e-06,0.2818129120036793,5.2297579758983844e-11,0.001692205846017647
ms_10,10,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.2588924195479192,5.2297579758983844e-11,0.0017096403072125632
ms_86,86,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.19488636363636366,1.995331366767499e-05,0.0038320248603215565
ms_236,236,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.23788620187641543,9.64236626806265e-08,0.0020885977605204567
ms_258,258,manuscript,1,1,1.0,1.0,0.005681818181818182,0.0,0.2216380063901616,7.078850974519598e-10,0.0019015420090422262
ms_266,266,manuscript,2,0,1.0,0.0,0.005681818181818182,0.0,0.2108707341554345,4.0950872721990016e-09,0.0027223948786936274
ms_289,289,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.14967761470504418,5.2297579758983844e-11,0.0018019809317231877
ms_39,39,manuscript,0,0,0.0,0.0,0.0,0.0,0.0,1.8677707056779937e-12,0.00167794128685817
ms_113,113,manuscript,1,1,1.0,1.0,0.005681818181818182,0.0,0.2594954298418973,5.2297579758983844e-11,0.0017096403072125632
ms_202,202,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.2054272364083366,9.59613894309712e-07,0.003400341374468864
ms_188,188,manuscript,1,1,1.0,1.0,0.005681818181818182,6.622165713074805e-06,0.286401125652411,5.2297579758983844e-11,0.001692205846017647
ms_189,189,manuscript,1,1,1.0,1.0,0.005681818181818182,6.622165713074805e-06,0.286401125652411,5.2297579758983844e-11,0.001692205846017647
ms_211,211,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.274860290819378,5.2297579758983844e-11,0.001692205846017647
ms_12,12,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.2588924195479192,5.2297579758983844e-11,0.0017096403072125632
ms_199,199,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.24254725227602586,6.022692012433391e-06,0.007803995784647515
ms_279,279,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.19488636363636366,1.995331366767499e-05,0.0038320248603215565
ms_223,223,manuscript,2,0,1.0,0.0,0.005681818181818182,0.0,0.2775997621564482,3.8009133860547187e-10,0.0018688331478179969
ms_243,243,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.2148008442393083,7.078850974519598e-10,0.00311652415301777
ms_3,3,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.14967761470504418,5.2297579758983844e-11,0.0018019809317231877
ms_257,257,manuscript,1,1,1.0,1.0,0.005681818181818182,0.0,0.2611172762784091,5.2297579758983844e-11,0.0017096403072125632
ms_116,116,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.23788620187641543,9.64236626806265e-08,0.0020885977605204567
ms_198,198,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.18755898632792575,5.2297579758983844e-11,0.0021534265921740706
ms_105,105,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.21689170255442156,7.078850974519598e-10,0.00239723271993797
ms_4,4,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.274860290819378,5.2297579758983844e-11,0.001692205846017647
ms_68,68,manuscript,1,1,1.0,1.0,0.005681818181818182,0.0,0.28937672176308543,5.2297579758983844e-11,0.001692205846017647
ms_220,220,manuscript,1,1,1.0,1.0,0.005681818181818182,8.093758093758094e-06,0.24611937675726336,5.2297579758983844e-11,0.0017774614670405678
ms_82,82,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.19488636363636366,2.245038908861834e-06,0.002753223414289151
ms_228,228,manuscript,2,0,1.0,0.0,0.005681818181818182,0.0,0.27713939770842755,5.229757975898386e-11,0.0017435508871265653
ms_262,262,manuscript,2,0,1.0,0.0,0.005681818181818182,0.0,0.2627595232990281,3.8009133860547187e-10,0.001805591158127395
ms_150,150,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.23788620187641543,9.64236626806265e-08,0.0020885977605204567
ms_175,175,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.19431983350951376,3.272240887812564e-08,0.005121729668840234
ms_46,46,manuscript,2,1,1.0,1.0,0.008522727272727272,0.0004127816627816628,0.2437856408726212,3.07021113471952e-06,0.005670345423357528
ms_85,85,manuscript,2,1,1.0,1.0,0.008522727272727272,0.002063908313908314,0.2563114368377022,3.0129018592145256e-06,0.004788325559472006
ms_88,88,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.22446616093778618,3.1117059956595387e-09,0.0017726553342964965
ms_190,190,manuscript,1,1,1.0,1.0,0.005681818181818182,6.622165713074805e-06,0.286401125652411,5.2297579758983844e-11,0.001692205846017647
ms_72,72,manuscript,1,1,1.0,1.0,0.005681818181818182,0.0,0.28937672176308543,5.2297579758983844e-11,0.001692205846017647
ms_114,114,manuscript,2,0,1.0,0.0,0.005681818181818182,0.0,0.30002703198955444,4.823798013019272e-08,0.0018904018032690519
ms_129,129,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.23788620187641543,9.64236626806265e-08,0.0020885977605204567
ms_51,51,manuscript,2,0,1.0,0.0,0.005681818181818182,0.0,0.28228894732800985,1.638735322894231e-08,0.00340696775742894
ms_240,240,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.22446616093778618,3.1117059956595387e-09,0.0017726553342964965
ms_252,252,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.22416506615450277,4.572489464570299e-08,0.002755265367300034
ms_253,253,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.20954866058706184,7.078850974519598e-10,0.0019015420090422262
ms_272,272,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.2054272364083366,7.078850974519598e-10,0.0022593031645367157
ms_138,138,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.23788620187641543,9.64236626806265e-08,0.0020885977605204567
ms_297,297,manuscript,1,1,1.0,1.0,0.005681818181818182,0.0,0.28937672176308543,5.2297579758983844e-11,0.001692205846017647
ms_182,182,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.274860290819378,5.2297579758983844e-11,0.001692205846017647
ms_225,225,manuscript,3,2,1.0,1.0,0.014204545454545456,0.0013435638435638437,0.38594701343690957,2.7082675232330915e-10,0.0017624722273721443
ms_132,132,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.23788620187641543,9.64236626806265e-08,0.0020885977605204567
ms_160,160,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.2588924195479192,5.2297579758983844e-11,0.0017096403072125632
ms_133,133,manuscript,1,1,1.0,1.0,0.005681818181818182,0.0,0.30002703198955444,5.2297579758983844e-11,0.001692205846017647
ms_41,41,manuscript,2,0,1.0,0.0,0.005681818181818182,0.0,0.2762232344102179,5.229757975898386e-11,0.0019703647496274487
ms_268,268,manuscript,0,1,0.0,1.0,0.002840909090909091,0.0,0.21020761863922244,1.8677707056779937e-12,0.00167794128685817
ms_206,206,manuscript,2,0,1.0,0.0,0.005681818181818182,0.0,0.2775997621564482,3.8009133860547187e-10,0.0018688331478179969
ms_232,232,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.24254725227602586,6.022692012433391e-06,0.007803995784647515
ms_183,183,manuscript,1,1,1.0,1.0,0.005681818181818182,6.622165713074805e-06,0.286401125652411,5.2297579758983844e-11,0.001692205846017647
ms_248,248,manuscript,1,1,1.0,1.0,0.005681818181818182,6.475006475006475e-05,0.2256786722730342,7.078850974519598e-10,0.0022593031645367157
ms_255,255,manuscript,1,1,1.0,1.0,0.005681818181818182,0.00033993783993783994,0.2231175658453696,1.3634726151449361e-09,0.001974174588567747
ms_153,153,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.274860290819378,5.2297579758983844e-11,0.001692205846017647
ms_263,263,manuscript,2,0,1.0,0.0,0.005681818181818182,0.0,0.27713939770842755,5.229757975898386e-11,0.0017435508871265653
ms_34,34,manuscript,1,1,1.0,1.0,0.005681818181818182,6.475006475006475e-05,0.3013797237478482,5.2297579758983844e-11,0.001692205846017647
ms_47,47,manuscript,2,0,1.0,0.0,0.005681818181818182,0.0,0.30002703198955444,4.823798013019272e-08,0.0018904018032690519
ms_210,210,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.274860290819378,5.2297579758983844e-11,0.001692205846017647
ms_80,80,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.19488636363636366,2.245038908861834e-06,0.002753223414289151
ms_292,292,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.23570529875625082,7.078850974519598e-10,0.0018855705288862222
ms_226,226,manuscript,0,0,0.0,0.0,0.0,0.0,0.0,1.8677707056779937e-12,0.00167794128685817
ms_264,264,manuscript,1,1,1.0,1.0,0.005681818181818182,0.0,0.2611172762784091,5.2297579758983844e-11,0.0017096403072125632
ms_192,192,manuscript,1,1,1.0,1.0,0.005681818181818182,6.622165713074805e-06,0.286401125652411,5.2297579758983844e-11,0.001692205846017647
ms_64,64,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.274860290819378,5.2297579758983844e-11,0.001692205846017647
ms_140,140,manuscript,2,0,1.0,0.0,0.005681818181818182,0.0,0.24079979368614096,4.823798013019272e-08,0.0019330296137805123
ms_40,40,manuscript,2,0,1.0,0.0,0.005681818181818182,0.0,0.2611172762784091,9.580841901017621e-07,0.004064798088429697
ms_299,299,manuscript,1,1,1.0,1.0,0.005681818181818182,6.622165713074805e-06,0.286401125652411,5.2297579758983844e-11,0.001692205846017647
ms_99,99,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.274860290819378,5.2297579758983844e-11,0.001692205846017647
ms_194,194,manuscript,1,1,1.0,1.0,0.005681818181818182,0.0009226884226884227,0.2535888570837357,9.64236626806265e-08,0.0020885977605204567
ms_19,19,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.2588924195479192,5.2297579758983844e-11,0.0017096403072125632
ms_259,259,manuscript,1,1,1.0,1.0,0.005681818181818182,0.0,0.2216380063901616,7.078850974519598e-10,0.0019015420090422262
ms_22,22,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.20492342957471715,7.078850974519598e-10,0.0031313459810545343
ms_63,63,manuscript,1,1,1.0,1.0,0.005681818181818182,0.0,0.28937672176308543,5.2297579758983844e-11,0.001692205846017647
ms_1,1,manuscript,3,1,1.0,1.0,0.011363636363636364,0.0019101269101269103,0.2942166493277849,6.389587551003253e-07,0.0033383889019152056
ms_286,286,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.14967761470504418,5.2297579758983844e-11,0.0018019809317231877
ms_201,201,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.19942130885224563,5.2297579758983844e-11,0.0019454017710983638
ms_281,281,manuscript,0,0,0.0,0.0,0.0,0.0,0.0,1.8677707056779937e-12,0.00167794128685817
ms_43,43,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.23570529875625082,7.078850974519598e-10,0.0018855705288862222
ms_269,269,manuscript,1,1,1.0,1.0,0.005681818181818182,8.093758093758094e-06,0.1831397882938979,1.9829187696830436e-08,0.0024314300431598577
ms_249,249,manuscript,1,1,1.0,1.0,0.005681818181818182,0.00021853146853146856,0.2574962354671523,3.1117059956595387e-09,0.0017726553342964965
ms_70,70,manuscript,2,1,1.0,1.0,0.008522727272727272,0.0,0.2919040293767368,3.8009133860547187e-10,0.0017976054180493927
ms_65,65,manuscript,1,1,1.0,1.0,0.005681818181818182,0.0,0.28937672176308543,5.2297579758983844e-11,0.001692205846017647
ms_74,74,manuscript,1,1,1.0,1.0,0.005681818181818182,0.00012140637140637142,0.2617307076244038,7.078850974519598e-10,0.00239723271993797
ms_89,89,manuscript,0,1,0.0,1.0,0.002840909090909091,0.0,0.19488636363636366,1.8677707056779937e-12,0.00167794128685817
ms_282,282,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.14967761470504418,5.2297579758983844e-11,0.0018019809317231877
ms_167,167,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.21577153882270086,5.2297579758983844e-11,0.0017774614670405678
ms_110,110,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.21563233137829912,7.078850974519598e-10,0.00239723271993797
ms_273,273,manuscript,2,0,1.0,0.0,0.005681818181818182,0.0,0.24079979368614096,4.823798013019272e-08,0.0019330296137805123
ms_187,187,manuscript,1,1,1.0,1.0,0.005681818181818182,6.622165713074805e-06,0.286401125652411,5.2297579758983844e-11,0.001692205846017647
ms_66,66,manuscript,1,1,1.0,1.0,0.005681818181818182,0.0,0.28937672176308543,5.2297579758983844e-11,0.001692205846017647
ms_136,136,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.274860290819378,5.2297579758983844e-11,0.001692205846017647
ms_169,169,manuscript,1,1,1.0,1.0,0.005681818181818182,5.395838729172062e-06,0.28228894732800985,5.2297579758983844e-11,0.001692205846017647
ms_293,293,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.19488636363636366,2.245038908861834e-06,0.002753223414289151
ms_216,216,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.274860290819378,5.2297579758983844e-11,0.001692205846017647
ms_108,108,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.274860290819378,5.2297579758983844e-11,0.001692205846017647
ms_95,95,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.274860290819378,5.2297579758983844e-11,0.001692205846017647
ms_33,33,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.274860290819378,5.2297579758983844e-11,0.001692205846017647
ms_11,11,manuscript,2,0,1.0,0.0,0.005681818181818182,0.0,0.3342301136363637,5.229757975898386e-11,0.001700923076615105
ms_122,122,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.274860290819378,5.2297579758983844e-11,0.001692205846017647
ms_7,7,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.274860290819378,5.2297579758983844e-11,0.001692205846017647
ms_145,145,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.20492342957471715,7.078850974519598e-10,0.0031313459810545343
