Node,Label,Type,In_Degree,Out_Degree,In_Strength_WeightSum,Out_Strength_WeightSum,DegreeCentrality,BetweennessCentrality,ClosenessCentrality_Undirected,EigenvectorCentrality,PageRank
canterbury,Canterbury,place,4,0,4.0,0.0,0.011363636363636364,0.0,0.23924847074900762,7.633578874105967e-09,0.007090601123458197
verdun,Verdun,place,3,1,3.0,0.5,0.011363636363636364,8.093758093758094e-06,0.2594954298418973,1.0881791256360945e-05,0.01624415635105931
werden,Werden,place,2,0,2.0,0.0,0.005681818181818182,0.0,0.2582922052831249,3.8177233224058215e-09,0.003226060028492861
lorsch,Lorsch,place,3,0,2.5,0.0,0.008522727272727272,0.0,0.25474856222283815,4.170731985778962e-09,0.004056822654274634
france,France,place,0,52,0.0,45.0,0.14772727272727273,0.0,0.3521919005651883,1.8677707056779937e-12,0.00167794128685817
ireland,Ireland*,place,0,108,0.0,100.0,0.3068181818181818,0.0,0.38241431766174333,1.8677707056779937e-12,0.00167794128685817
trier,Trier,place,2,0,2.0,0.0,0.005681818181818182,0.0,0.2247680656599621,8.268985596266762e-06,0.006593341848192565
echternach,Echternach,place,3,1,3.0,0.3333333333333333,0.011363636363636364,4.046879046879047e-05,0.2332380416164436,6.9275615473596834e-09,0.006463678436411431
laon,Laon,place,11,5,11.0,3.333333333333333,0.045454545454545456,0.002577861952861953,0.2787573925240731,5.244802868932623e-07,0.0185928786474515
saint-denis,Saint-Denis,place,1,1,1.0,1.0,0.005681818181818182,8.093758093758094e-06,0.2592941145355808,5.2297579758983844e-11,0.0017096403072125632
soissons,Soissons,place,1,10,1.0,6.999999999999999,0.03125,4.046879046879047e-05,0.31062278218992906,5.2297579758983844e-11,0.0017096403072125632
salzburg,Salzburg,place,0,12,0.0,11.5,0.03409090909090909,0.0,0.17674781260516323,1.8677707056779937e-12,0.00167794128685817
fulda,Fulda,place,4,2,4.0,1.5,0.017045454545454544,0.00010521885521885523,0.24254725227602586,4.574170458205408e-09,0.0060762769825634
roscrea,Roscrea,place,1,1,1.0,1.0,0.005681818181818182,8.093758093758094e-06,0.2753131084319305,5.2297579758983844e-11,0.001692205846017647
augsburg,Augsburg,place,1,2,1.0,2.0,0.008522727272727272,6.475006475006475e-05,0.22507078359351088,3.1117059956595387e-09,0.0017726553342964965
reims,Reims,place,2,10,2.0,9.0,0.03409090909090909,0.0003925472675472676,0.2678125910547786,1.0272738881228969e-10,0.0031360962231602655
italy,Italy,place,0,19,0.0,14.333333333333332,0.05397727272727273,0.0,0.2769097876026211,1.8677707056779937e-12,0.00167794128685817
regensburg,Regensburg,place,5,4,5.0,4.0,0.02556818181818182,0.0019101269101269103,0.24343052704760645,8.03569309710208e-06,0.010134978247582223
corbie,Corbie,place,3,4,3.0,4.0,0.019886363636363636,0.000259000259000259,0.2908878273597595,6.9275615473596834e-09,0.005068921540818123
wurzburg,Würzburg,place,4,0,4.0,0.0,0.011363636363636364,0.0,0.2418452341797132,4.574170458205408e-09,0.0060762769825634
deer,Deer,place,1,1,1.0,1.0,0.005681818181818182,8.093758093758094e-06,0.2753131084319305,5.2297579758983844e-11,0.001692205846017647
brittany,Brittany,place,1,3,1.0,2.5,0.011363636363636364,3.642191142191142e-05,0.26132143364844695,5.2297579758983844e-11,0.0017096403072125632
