Label,In_Degree,Out_Degree,In_Strength_WeightSum,Out_Strength_WeightSum,DegreeCentrality,BetweennessCentrality,ClosenessCentrality_Undirected,EigenvectorCentrality,PageRank,MeanResearchScore
Reichenau,1.0,0.83,1.0,0.83,0.94,1.0,0.96,0.86,1.0,0.9640000000000001
St Gall,0.98,0.77,0.98,0.8,0.9,0.94,0.9,1.0,0.98,0.96
Bobbio,0.94,0.96,0.94,0.96,0.96,0.98,0.94,0.74,0.92,0.9039999999999999
Laon,0.96,0.74,0.96,0.68,0.86,0.96,0.78,0.84,0.96,0.9
Strasbourg,0.78,0.47,0.79,0.38,0.62,0.82,0.62,0.98,0.86,0.812
Regensburg,0.92,0.7,0.92,0.72,0.77,0.92,0.27,0.88,0.88,0.774
Corbie,0.78,0.7,0.79,0.72,0.71,0.8,0.86,0.69,0.72,0.7699999999999999
Fleury,0.78,0.62,0.79,0.61,0.65,0.74,0.54,0.94,0.74,0.748
Verdun,0.78,0.25,0.79,0.18,0.52,0.41,0.46,0.92,0.94,0.702
Freising,0.78,0.7,0.79,0.72,0.71,0.88,0.27,0.82,0.7,0.6900000000000001
Paris,0.62,0.47,0.62,0.52,0.52,0.78,0.51,0.8,0.66,0.674
Auxerre,0.62,0.25,0.62,0.29,0.34,0.41,0.4,0.96,0.9,0.658
Fulda,0.88,0.47,0.88,0.43,0.65,0.76,0.22,0.65,0.77,0.656
Germany,0.33,0.94,0.14,0.94,0.92,0.9,0.88,0.52,0.52,0.63
Reims,0.62,0.87,0.62,0.88,0.83,0.84,0.6,0.5,0.54,0.62
Mainz,0.62,0.47,0.62,0.43,0.52,0.86,0.24,0.76,0.62,0.62
Echternach,0.78,0.25,0.79,0.14,0.52,0.65,0.16,0.69,0.8,0.616
Lyon,0.62,0.47,0.62,0.43,0.52,0.6,0.48,0.55,0.58,0.5660000000000001
Canterbury,0.88,0.06,0.88,0.06,0.52,0.13,0.18,0.72,0.84,0.55
Rouen,0.62,0.06,0.62,0.06,0.12,0.13,0.84,0.55,0.56,0.5399999999999999
Würzburg,0.88,0.06,0.88,0.06,0.52,0.13,0.2,0.65,0.77,0.526
Soissons,0.33,0.87,0.34,0.86,0.8,0.65,0.92,0.31,0.37,0.516
Trier,0.62,0.06,0.62,0.06,0.12,0.13,0.09,0.9,0.82,0.512
Lorsch,0.78,0.06,0.72,0.06,0.34,0.13,0.32,0.62,0.68,0.506
Werden,0.62,0.06,0.62,0.06,0.12,0.13,0.34,0.6,0.6,0.458
Saint-Amand,0.33,0.83,0.34,0.83,0.77,0.69,0.58,0.31,0.37,0.45600000000000007
Füssen,0.62,0.06,0.62,0.06,0.12,0.13,0.09,0.78,0.64,0.45200000000000007
Augsburg,0.33,0.47,0.34,0.52,0.34,0.72,0.12,0.58,0.46,0.442
Brittany,0.33,0.62,0.34,0.61,0.52,0.62,0.56,0.31,0.37,0.438
Iona,0.33,0.47,0.34,0.52,0.34,0.53,0.78,0.31,0.21,0.43200000000000005
Tallaght,0.33,0.47,0.34,0.52,0.34,0.53,0.78,0.31,0.21,0.43200000000000005
Armagh,0.33,0.47,0.34,0.52,0.34,0.58,0.7,0.31,0.21,0.426
Tours,0.33,0.62,0.34,0.61,0.52,0.56,0.51,0.31,0.37,0.41600000000000004
Bangor,0.33,0.47,0.34,0.43,0.34,0.41,0.82,0.31,0.21,0.41600000000000004
Clondalkin,0.33,0.25,0.34,0.29,0.12,0.41,0.74,0.31,0.21,0.4
Birr,0.33,0.25,0.34,0.29,0.12,0.41,0.66,0.31,0.21,0.384
Roscrea,0.33,0.25,0.34,0.29,0.12,0.41,0.66,0.31,0.21,0.384
Deer,0.33,0.25,0.34,0.29,0.12,0.41,0.66,0.31,0.21,0.384
Northumbria,0.33,0.77,0.34,0.76,0.71,0.69,0.06,0.31,0.5,0.378
Saint-Denis,0.33,0.25,0.34,0.29,0.12,0.41,0.4,0.31,0.37,0.36400000000000005
Luxeuil,0.33,0.25,0.34,0.29,0.12,0.41,0.4,0.31,0.37,0.36400000000000005
Cambrai,0.33,0.25,0.34,0.18,0.12,0.29,0.4,0.31,0.37,0.34
Péronne,0.33,0.25,0.34,0.18,0.12,0.29,0.4,0.31,0.37,0.34
Verona,0.33,0.25,0.34,0.29,0.12,0.41,0.04,0.31,0.48,0.314
Ireland*,0.06,1.0,0.06,1.0,1.0,0.13,1.0,0.06,0.06,0.262
France,0.06,0.98,0.06,0.98,0.98,0.13,0.98,0.06,0.06,0.258
Italy,0.06,0.92,0.06,0.92,0.88,0.13,0.72,0.06,0.06,0.20600000000000002
England,0.06,0.8,0.06,0.78,0.71,0.13,0.3,0.06,0.06,0.12200000000000003
Switzerland,0.06,0.62,0.06,0.66,0.34,0.13,0.14,0.06,0.06,0.09
Wales,0.06,0.62,0.06,0.61,0.34,0.13,0.02,0.06,0.06,0.066
Salzburg,0.06,0.9,0.06,0.9,0.83,0.13,0.0,0.06,0.06,0.062
