node_id_from,node_id_to,directed,weight,type,edge_label
france,reichenau,yes,0.3333333333333333,primary_movement,1
laon,reichenau,yes,0.3333333333333333,primary_movement,1
soissons,reichenau,yes,0.3333333333333333,primary_movement,1
reichenau,library_st-paul,yes,1.0,secondary_movement,1
salzburg,library_vienna,yes,1.0,primary_movement,2
salzburg,library_vienna,yes,1.0,primary_movement,3
ireland,library_vienna,yes,1.0,primary_movement,4
salzburg,library_vienna,yes,0.5,primary_movement,5
saint-amand,library_vienna,yes,0.5,primary_movement,5
ireland,library_ghent,yes,1.0,primary_movement,6
ireland,library_leuven,yes,1.0,primary_movement,7
cambrai,library_cambrai,yes,0.5,primary_movement,8
peronne,library_cambrai,yes,0.5,primary_movement,8
ireland,library_colmar,yes,1.0,primary_movement,9
france,library_laon,yes,1.0,primary_movement,10
ireland,library_laon,yes,0.5,primary_movement,11
france,library_laon,yes,0.5,primary_movement,11
france,library_laon,yes,1.0,primary_movement,12
ireland,library_laon,yes,1.0,primary_movement,13
laon,library_laon,yes,1.0,primary_movement,15
mainz,laon,yes,1.0,primary_movement,16
laon,library_laon,yes,1.0,secondary_movement,16
france,library_laon,yes,1.0,primary_movement,17
laon,library_laon,yes,1.0,primary_movement,18
france,library_laon,yes,1.0,primary_movement,19
bobbio,library_nancy,yes,0.5,primary_movement,20
ireland,library_nancy,yes,0.5,primary_movement,20
fleury,library_orleans,yes,1.0,primary_movement,21
saint-denis,library_paris_bnf,yes,1.0,primary_movement,22
reims,library_paris_bnf,yes,1.0,primary_movement,23
france,library_paris_bnf,yes,1.0,primary_movement,24
ireland,library_paris_bnf,yes,0.5,primary_movement,25
england,library_paris_bnf,yes,0.5,primary_movement,25
ireland,library_paris_bnf,yes,1.0,primary_movement,26
ireland,library_paris_bnf,yes,1.0,primary_movement,27
brittany,echternach,yes,1.0,primary_movement,28
echternach,library_paris_bnf,yes,1.0,secondary_movement,28
england,library_paris_bnf,yes,0.3333333333333333,primary_movement,29
ireland,library_paris_bnf,yes,0.3333333333333333,primary_movement,29
echternach,library_paris_bnf,yes,0.3333333333333333,primary_movement,29
ireland,echternach,yes,1.0,primary_movement,30
echternach,library_paris_bnf,yes,0.5,secondary_movement,30
echternach,library_paris_bnf,yes,0.5,secondary_movement,30
reims,library_paris_bnf,yes,1.0,primary_movement,31
ireland,library_paris_bnf,yes,1.0,primary_movement,32
ireland,library_paris_bnf,yes,1.0,primary_movement,33
ireland,corbie,yes,1.0,primary_movement,34
corbie,library_paris_bnf,yes,1.0,secondary_movement,34
corbie,paris,yes,1.0,primary_movement,35
paris,library_paris_bnf,yes,1.0,secondary_movement,35
corbie,library_paris_bnf,yes,1.0,primary_movement,36
verdun,library_paris_arsenal,yes,1.0,secondary_movement,37
soissons,library_paris_mazarine,yes,0.5,primary_movement,38
soissons,library_vatican,yes,0.5,primary_movement,38
france,library_paris_bnf,yes,0.5,primary_movement,40
laon,library_paris_bnf,yes,0.5,primary_movement,40
ireland,library_saint-omer,yes,0.5,primary_movement,41
wales,library_saint-omer,yes,0.5,primary_movement,41
saint-amand,library_valenciennes,yes,1.0,primary_movement,42
soissons,library_bamberg,yes,1.0,primary_movement,43
reims,library_bamberg,yes,1.0,primary_movement,44
soissons,library_berlin,yes,1.0,primary_movement,45
reichenau,trier,yes,0.5,primary_movement,46
mainz,trier,yes,0.5,primary_movement,46
trier,library_berlin,yes,1.0,secondary_movement,46
ireland,library_cologne,yes,0.5,primary_movement,47
bobbio,library_cologne,yes,0.5,primary_movement,47
st-gall,library_dresden,yes,1.0,primary_movement,48
reims,library_dresden,yes,1.0,primary_movement,49
ireland,library_dusseldorf,yes,0.3333333333333333,primary_movement,50
