Label,In_Degree,Out_Degree,In_Strength_WeightSum,Out_Strength_WeightSum,DegreeCentrality,BetweennessCentrality,ClosenessCentrality_Undirected,EigenvectorCentrality,PageRank,MeanResearchScore
Reichenau,1.0,0.88,1.0,0.9,0.94,1.0,0.97,0.94,1.0,0.982
St Gall,0.98,0.81,0.98,0.84,0.87,0.96,0.93,0.9,0.94,0.942
Bobbio,0.96,0.92,0.75,0.88,0.92,0.98,0.93,0.76,0.98,0.9219999999999999
Laon,0.93,0.73,0.96,0.54,0.82,0.92,0.78,0.88,0.96,0.8939999999999999
Regensburg,0.85,0.73,0.89,0.36,0.78,0.9,0.82,0.98,0.8,0.8699999999999999
Corbie,0.85,0.73,0.93,0.82,0.78,0.84,0.88,0.81,0.86,0.8480000000000001
Strasbourg,0.85,0.58,0.86,0.68,0.7,0.88,0.71,0.96,0.76,0.8320000000000001
Canterbury,0.85,0.58,0.93,0.68,0.7,0.86,0.5,0.81,0.92,0.788
Trier,0.85,0.17,0.75,0.21,0.52,0.82,0.24,1.0,0.88,0.758
Paris,0.7,0.58,0.75,0.68,0.62,0.76,0.46,0.92,0.82,0.732
Lorsch,0.93,0.17,0.89,0.03,0.62,0.36,0.86,0.74,0.7,0.718
Fulda,0.7,0.73,0.75,0.77,0.7,0.78,0.76,0.7,0.63,0.7140000000000001
Freising,0.85,0.17,0.75,0.21,0.52,0.62,0.32,0.84,0.78,0.682
Würzburg,0.7,0.42,0.75,0.44,0.52,0.74,0.55,0.7,0.63,0.6639999999999999
Germany,0.7,0.96,0.14,0.96,0.96,0.94,0.9,0.14,0.6,0.656
Rouen,0.7,0.17,0.75,0.21,0.34,0.6,0.84,0.6,0.54,0.6559999999999999
Echternach,0.7,0.17,0.75,0.21,0.34,0.16,0.74,0.78,0.84,0.6439999999999999
Fleury,0.7,0.73,0.64,0.77,0.7,0.68,0.44,0.66,0.72,0.64
Füssen,0.7,0.17,0.75,0.21,0.34,0.68,0.05,0.86,0.9,0.638
Werden,0.7,0.17,0.75,0.21,0.34,0.55,0.55,0.7,0.68,0.636
Mainz,0.37,0.58,0.39,0.59,0.52,0.8,0.2,0.63,0.57,0.514
Reims,0.37,0.9,0.39,0.92,0.87,0.68,0.71,0.37,0.41,0.508
Soissons,0.37,0.86,0.39,0.86,0.84,0.55,0.8,0.37,0.41,0.5000000000000001
Northumbria,0.37,0.81,0.39,0.74,0.7,0.68,0.18,0.37,0.74,0.46799999999999997
Armagh,0.37,0.42,0.39,0.44,0.34,0.68,0.63,0.37,0.21,0.45200000000000007
Augsburg,0.37,0.42,0.39,0.44,0.34,0.45,0.22,0.63,0.57,0.44799999999999995
Tours,0.37,0.58,0.39,0.59,0.52,0.55,0.48,0.37,0.41,0.43600000000000005
Saint-Amand,0.37,0.73,0.39,0.68,0.62,0.45,0.4,0.37,0.41,0.4000000000000001
Lyon,0.37,0.58,0.39,0.52,0.52,0.45,0.37,0.37,0.41,0.394
Verona,0.37,0.17,0.39,0.21,0.11,0.45,0.02,0.37,0.66,0.374
Brittany,0.37,0.58,0.39,0.59,0.52,0.45,0.26,0.37,0.41,0.372
Verdun,0.37,0.42,0.39,0.44,0.34,0.55,0.16,0.37,0.41,0.372
Deer,0.37,0.17,0.39,0.21,0.11,0.45,0.42,0.37,0.21,0.364
Iona,0.37,0.42,0.39,0.44,0.34,0.16,0.67,0.37,0.21,0.35600000000000004
Bangor,0.37,0.17,0.39,0.03,0.11,0.16,0.67,0.37,0.21,0.35600000000000004
Tallaght,0.37,0.42,0.39,0.44,0.34,0.16,0.63,0.37,0.21,0.34800000000000003
Clondalkin,0.37,0.17,0.39,0.21,0.11,0.16,0.6,0.37,0.21,0.34199999999999997
Cambrai,0.37,0.17,0.39,0.03,0.11,0.36,0.09,0.37,0.41,0.31999999999999995
Auxerre,0.37,0.17,0.39,0.21,0.11,0.16,0.29,0.37,0.41,0.31999999999999995
Péronne,0.37,0.17,0.39,0.03,0.11,0.36,0.09,0.37,0.41,0.31999999999999995
Saint-Denis,0.37,0.17,0.39,0.21,0.11,0.16,0.29,0.37,0.41,0.31999999999999995
Roscrea,0.37,0.17,0.39,0.21,0.11,0.16,0.37,0.37,0.21,0.296
Birr,0.37,0.17,0.39,0.21,0.11,0.16,0.34,0.37,0.21,0.29000000000000004
Luxeuil,0.37,0.17,0.39,0.21,0.11,0.16,0.14,0.37,0.41,0.29
Ireland*,0.06,1.0,0.06,1.0,1.0,0.16,1.0,0.06,0.06,0.268
France,0.06,0.98,0.06,0.98,0.98,0.16,0.97,0.06,0.06,0.262
Italy,0.06,0.94,0.06,0.94,0.9,0.16,0.58,0.06,0.06,0.184
England,0.06,0.84,0.06,0.8,0.78,0.16,0.52,0.06,0.06,0.17200000000000001
Switzerland,0.06,0.58,0.06,0.68,0.34,0.16,0.12,0.06,0.06,0.092
Salzburg,0.06,0.42,0.06,0.44,0.11,0.16,0.05,0.06,0.06,0.078
Wales,0.06,0.58,0.06,0.59,0.34,0.16,0.0,0.06,0.06,0.068
